# NPC 頭上表示名 対応表（tools/jp_npc_names.py の Source of Truth）
#
# 生成: tools/jp_npc_names.py inventory --out docs/jp-npc-names.tsv
# 適用: tools/jp_npc_names.py apply --map docs/jp-npc-names.tsv [--dry-run]
# 検査: tools/jp_npc_names.py check --map docs/jp-npc-names.tsv
#
# 人間が編集するのは `apply_jp` 列だけ。**可視部分の日本語だけ**を書く
# （`#suffix` と `::exname` はツールが上流ヘッダから機械的に引き継ぐ）。
# 空欄の行は変更されない。`::` `#` タブ・制御文字は使用不可、CP932 で
# 表せない文字も不可、`#suffix` 込みの CP932 バイト長は 50 以内（NPC_NAME_LENGTH）。
#
# 列の意味:
#   file/line          翻訳版ファイルとヘッダ行（1 始まり）
#   kind               script / duplicate / shop / warp / function
#   upstream_name      上流ファイルの同じヘッダのフル名（`-` = 追加のみで上流なし）
#   current_name       現在の翻訳版のフル名
#   display/hidden/exname  現在名の分解（display = `::` の前、hidden = `#` の後、exname = `::` の後）
#   visible            頭上に名前が出るか（no = 浮動 `-` / function / warp /
#                      sprite -1・45・111・139 / 表示名が `#` 始まり）
#                      shop 系（道具屋・武器屋など）は本文が無いだけで頭上名は出るので yes
#   speaker_tags       本文の `mes "[…]"` を出現順・重複除去で `|` 区切り
#   first_tag          その先頭（`[?]` 等と文字列連結のタグは除外）
#   dup_source         duplicate(...) の参照元 exname
#   dup_source_file    参照元 NPC を定義しているファイル（翻訳版 or 上流）
#   refs_exname        exname を参照している箇所数（Pre-RE 実ロード構成での全文走査）
#   refs_exname_at     その例（最大 3 件）
#   refs_display_text  可視表示名が他ファイルの文字列リテラルに出る箇所数（参考情報）
#   refs_display_at    その例（最大 3 件）
#   strnpcinfo_use     実行される本文の strnpcinfo 使用（例 `1:cmp` `1:tag` `2:arg`）
#   category           A=上流に `::` あり / B=`::` を足せば安全 / C=要個別判断 / D=対象外
#                      （shop 系は本文が無いので speaker_tags / first_tag は空になる）
#   proposed_jp        自動提案（話者タグ・用語集から。ベストエフォート）
#   apply_jp           ★人間が確定した日本語（可視部分のみ）
#   note               判断理由・注意
file	line	kind	upstream_name	current_name	display	hidden	exname	visible	speaker_tags	first_tag	dup_source	dup_source_file	refs_exname	refs_exname_at	refs_display_text	refs_display_at	strnpcinfo_use	category	proposed_jp	apply_jp	note
npc/custom/jp/kafras/functions_kafras.txt	77	function	F_Kafra	F_Kafra	F_Kafra		F_Kafra	no	カプラ職員	カプラ職員			0		43	npc/battleground/bg_common.txt:323 npc/custom/jp/kafras/kafras.txt:124 npc/custom/jp/kafras/kafras.txt:139 ...(+40)		D			function（NPC ではない）
npc/custom/jp/kafras/functions_kafras.txt	200	function	F_KafStor	F_KafStor	F_KafStor		F_KafStor	no	カプラ職員	カプラ職員			0		0			D			function（NPC ではない）
npc/custom/jp/kafras/functions_kafras.txt	289	function	F_KafTele	F_KafTele	F_KafTele		F_KafTele	no	カプラ職員	カプラ職員			0		0			D			function（NPC ではない）
npc/custom/jp/kafras/functions_kafras.txt	339	function	F_KafCart	F_KafCart	F_KafCart		F_KafCart	no	カプラ職員	カプラ職員			0		0			D			function（NPC ではない）
npc/custom/jp/kafras/functions_kafras.txt	401	function	F_KafInfo	F_KafInfo	F_KafInfo		F_KafInfo	no	カプラ職員	カプラ職員			0		0			D			function（NPC ではない）
npc/custom/jp/kafras/functions_kafras.txt	450	function	F_KafEnd	F_KafEnd	F_KafEnd		F_KafEnd	no	カプラ職員	カプラ職員			0		42	npc/custom/jp/kafras/kafras.txt:126 npc/custom/jp/kafras/kafras.txt:141 npc/custom/jp/kafras/kafras.txt:156 ...(+39)		D			function（NPC ではない）
npc/custom/jp/kafras/functions_kafras.txt	477	function	F_CheckKafCode	F_CheckKafCode	F_CheckKafCode		F_CheckKafCode	no					0		2	npc/kafras/cool_event_corp.txt:69 npc/custom/jp/kafras/kafras.txt:80		D			function（NPC ではない）
npc/custom/jp/kafras/functions_kafras.txt	494	function	F_SetKafCode	F_SetKafCode	F_SetKafCode		F_SetKafCode	no					0		1	npc/kafras/cool_event_corp.txt:160		D			function（NPC ではない）
npc/custom/jp/kafras/functions_kafras.txt	585	function	F_EntKafCode	F_EntKafCode	F_EntKafCode		F_EntKafCode	no					0		0			D			function（NPC ではない）
npc/custom/jp/kafras/functions_kafras.txt	607	function	F_KafSet	F_KafSet	F_KafSet		F_KafSet	no					0		22	npc/custom/jp/kafras/kafras.txt:118 npc/custom/jp/kafras/kafras.txt:133 npc/custom/jp/kafras/kafras.txt:146 ...(+19)	4:assign@614	D			function（NPC ではない）
